,Kingdom,Cluster,n_species,Feature,Importance,FeatureDescription,FeatureDetail
0,arc,0,126,enc_approx,0.0102326298310179,Effective Number of Codons (ENC),Estimates how evenly synonymous codons are used. Lower ENC values indicate stronger codon bias.
1,arc,0,126,entropy,0.021657086090576,Codon Usage Entropy (Diversity),"Measures how evenly codons are used across synonymous options. Lower entropy indicates stronger bias, which may be linked to high expression efficiency."
2,arc,0,126,kingdom_encoded,0.1435208347814772,Kingdom Taxonomy Label,"Encoded label representing the taxonomic kingdom (e.g., Bacteria, Archaea, Eukaryota). Often used as a categorical identifier in classification tasks."
3,arc,0,126,hydrophobic_entropy,0.0106200821490917,Entropy of Hydrophobic Amino Acids,Measures diversity in usage of hydrophobic amino acids. Important for understanding membrane protein evolution.
4,arc,0,126,polar_entropy,0.0134341035186237,Entropy of Polar Amino Acid Usage,"Quantifies diversity in the usage of codons coding for polar amino acids (e.g., Ser, Thr, Asn). Lower values may indicate specialization in protein interfaces."
5,arc,0,126,charged_positive_entropy,0.0120512904933372,Entropy of Positively Charged Amino Acid Codon Usage,"Captures diversity in codon usage for K, R, H. Lower entropy implies stronger bias, possibly due to translational optimization."
6,arc,0,126,charged_negative_entropy,0.0129183486540619,Entropy of Negatively Charged Amino Acid Codon Usage,"Diversity measure for D, E codon usage. High entropy means more varied codon usage; low may indicate selection for efficiency."
7,arc,0,126,cosine_similarity_to_median,0.0091417103468528,Cosine Similarity to Median Codon Profile,How close the codon usage of a species is to the median profile across all species. Can reveal outlier behavior or typicality.
8,arc,0,126,special_entropy,0.0133815028517865,Entropy of Special Amino Acid Usage,"Measures the variation in codon usage for amino acids with unique properties (e.g., Proline, Glycine). Useful in identifying structural motifs."
9,arc,0,126,cosine_similarity_to_mean,0.0084956987249248,Cosine Similarity to Mean Codon Profile,Measures alignment with average codon usage. Useful for detecting deviation from the global codon trend.
10,bct,0,2889,enc_approx,0.0102326298310179,Effective Number of Codons (ENC),Estimates how evenly synonymous codons are used. Lower ENC values indicate stronger codon bias.
11,bct,0,2889,entropy,0.021657086090576,Codon Usage Entropy (Diversity),"Measures how evenly codons are used across synonymous options. Lower entropy indicates stronger bias, which may be linked to high expression efficiency."
12,bct,0,2889,kingdom_encoded,0.1435208347814772,Kingdom Taxonomy Label,"Encoded label representing the taxonomic kingdom (e.g., Bacteria, Archaea, Eukaryota). Often used as a categorical identifier in classification tasks."
13,bct,0,2889,hydrophobic_entropy,0.0106200821490917,Entropy of Hydrophobic Amino Acids,Measures diversity in usage of hydrophobic amino acids. Important for understanding membrane protein evolution.
14,bct,0,2889,polar_entropy,0.0134341035186237,Entropy of Polar Amino Acid Usage,"Quantifies diversity in the usage of codons coding for polar amino acids (e.g., Ser, Thr, Asn). Lower values may indicate specialization in protein interfaces."
15,bct,0,2889,charged_positive_entropy,0.0120512904933372,Entropy of Positively Charged Amino Acid Codon Usage,"Captures diversity in codon usage for K, R, H. Lower entropy implies stronger bias, possibly due to translational optimization."
16,bct,0,2889,charged_negative_entropy,0.0129183486540619,Entropy of Negatively Charged Amino Acid Codon Usage,"Diversity measure for D, E codon usage. High entropy means more varied codon usage; low may indicate selection for efficiency."
17,bct,0,2889,cosine_similarity_to_median,0.0091417103468528,Cosine Similarity to Median Codon Profile,How close the codon usage of a species is to the median profile across all species. Can reveal outlier behavior or typicality.
18,bct,0,2889,special_entropy,0.0133815028517865,Entropy of Special Amino Acid Usage,"Measures the variation in codon usage for amino acids with unique properties (e.g., Proline, Glycine). Useful in identifying structural motifs."
19,bct,0,2889,cosine_similarity_to_mean,0.0084956987249248,Cosine Similarity to Mean Codon Profile,Measures alignment with average codon usage. Useful for detecting deviation from the global codon trend.
20,bct,1,31,enc_approx,0.0102326298310179,Effective Number of Codons (ENC),Estimates how evenly synonymous codons are used. Lower ENC values indicate stronger codon bias.
21,bct,1,31,kingdom_encoded,0.1435208347814772,Kingdom Taxonomy Label,"Encoded label representing the taxonomic kingdom (e.g., Bacteria, Archaea, Eukaryota). Often used as a categorical identifier in classification tasks."
22,bct,1,31,entropy,0.021657086090576,Codon Usage Entropy (Diversity),"Measures how evenly codons are used across synonymous options. Lower entropy indicates stronger bias, which may be linked to high expression efficiency."
23,bct,1,31,hydrophobic_entropy,0.0106200821490917,Entropy of Hydrophobic Amino Acids,Measures diversity in usage of hydrophobic amino acids. Important for understanding membrane protein evolution.
24,bct,1,31,polar_entropy,0.0134341035186237,Entropy of Polar Amino Acid Usage,"Quantifies diversity in the usage of codons coding for polar amino acids (e.g., Ser, Thr, Asn). Lower values may indicate specialization in protein interfaces."
25,bct,1,31,charged_positive_entropy,0.0120512904933372,Entropy of Positively Charged Amino Acid Codon Usage,"Captures diversity in codon usage for K, R, H. Lower entropy implies stronger bias, possibly due to translational optimization."
26,bct,1,31,kurtosis,0.0123268474528995,Kurtosis of Codon Usage,Reflects peakedness or flatness of codon usage distribution. May reveal codon usage extremity in specific genomes.
27,bct,1,31,special_entropy,0.0133815028517865,Entropy of Special Amino Acid Usage,"Measures the variation in codon usage for amino acids with unique properties (e.g., Proline, Glycine). Useful in identifying structural motifs."
28,bct,1,31,charged_negative_entropy,0.0129183486540619,Entropy of Negatively Charged Amino Acid Codon Usage,"Diversity measure for D, E codon usage. High entropy means more varied codon usage; low may indicate selection for efficiency."
29,bct,1,31,skewness,0.0175014336977205,Skewness of Codon Usage,Indicates asymmetry in codon usage distribution. Positive or negative skew can reflect selection pressure or mutational bias.
30,inv,0,932,enc_approx,0.0102326298310179,Effective Number of Codons (ENC),Estimates how evenly synonymous codons are used. Lower ENC values indicate stronger codon bias.
31,inv,0,932,entropy,0.021657086090576,Codon Usage Entropy (Diversity),"Measures how evenly codons are used across synonymous options. Lower entropy indicates stronger bias, which may be linked to high expression efficiency."
32,inv,0,932,kingdom_encoded,0.1435208347814772,Kingdom Taxonomy Label,"Encoded label representing the taxonomic kingdom (e.g., Bacteria, Archaea, Eukaryota). Often used as a categorical identifier in classification tasks."
33,inv,0,932,hydrophobic_entropy,0.0106200821490917,Entropy of Hydrophobic Amino Acids,Measures diversity in usage of hydrophobic amino acids. Important for understanding membrane protein evolution.
34,inv,0,932,polar_entropy,0.0134341035186237,Entropy of Polar Amino Acid Usage,"Quantifies diversity in the usage of codons coding for polar amino acids (e.g., Ser, Thr, Asn). Lower values may indicate specialization in protein interfaces."
35,inv,0,932,charged_positive_entropy,0.0120512904933372,Entropy of Positively Charged Amino Acid Codon Usage,"Captures diversity in codon usage for K, R, H. Lower entropy implies stronger bias, possibly due to translational optimization."
36,inv,0,932,charged_negative_entropy,0.0129183486540619,Entropy of Negatively Charged Amino Acid Codon Usage,"Diversity measure for D, E codon usage. High entropy means more varied codon usage; low may indicate selection for efficiency."
37,inv,0,932,cosine_similarity_to_median,0.0091417103468528,Cosine Similarity to Median Codon Profile,How close the codon usage of a species is to the median profile across all species. Can reveal outlier behavior or typicality.
38,inv,0,932,special_entropy,0.0133815028517865,Entropy of Special Amino Acid Usage,"Measures the variation in codon usage for amino acids with unique properties (e.g., Proline, Glycine). Useful in identifying structural motifs."
39,inv,0,932,cosine_similarity_to_mean,0.0084956987249248,Cosine Similarity to Mean Codon Profile,Measures alignment with average codon usage. Useful for detecting deviation from the global codon trend.
40,inv,1,367,enc_approx,0.0102326298310179,Effective Number of Codons (ENC),Estimates how evenly synonymous codons are used. Lower ENC values indicate stronger codon bias.
41,inv,1,367,kingdom_encoded,0.1435208347814772,Kingdom Taxonomy Label,"Encoded label representing the taxonomic kingdom (e.g., Bacteria, Archaea, Eukaryota). Often used as a categorical identifier in classification tasks."
42,inv,1,367,entropy,0.021657086090576,Codon Usage Entropy (Diversity),"Measures how evenly codons are used across synonymous options. Lower entropy indicates stronger bias, which may be linked to high expression efficiency."
